386 39 10
386 49 3
386 59 40
386 69 169
386 79 466
386 89 346
386 90 199
393 29 -2
393 39 2
393 49 5
393 59 48
393 69 110
393 79 433
393 89 303
393 90 114
400 29 -5
400 39 5
400 49 11
400 59 10
400 69 97
400 79 308
400 89 207
400 90 99
407 29 1
407 39 1
407 49 33
407 59 18
407 69 110
407 79 384
407 89 270
407 90 110
414 29 3
414 39 -2
414 49 20
414 59 61
414 69 164
414 79 383
414 89 226
414 90 71
421 29 -23
421 39 4
421 49 27
421 59 51
421 69 139
421 79 525
421 89 266
421 90 69
428 29 -13
428 39 -2
428 49 40
428 59 78
428 69 209
428 79 646
428 89 423
428 90 119
