datum,pacient_prvni_zaznam,kum_pacient_prvni_zaznam,pocet_hosp,stav_bez_priznaku,stav_lehky,stav_stredni,stav_tezky,jip,kyslik,hfno,upv,ecmo,tezky_upv_ecmo,umrti,kum_umrti
2021-02-07,433,80437,5740,445,1490,2750,1055,1099,2410,456,546,14,1055,112,15438
2021-02-08,662,81099,6155,560,1676,2831,1088,1108,2472,480,539,15,1088,124,15562
2021-02-09,651,81750,6089,577,1579,2842,1091,1093,2490,508,526,12,1091,119,15681
2021-02-10,631,82381,6010,537,1629,2753,1091,1108,2420,514,522,13,1091,120,15801
2021-02-11,628,83009,5986,534,1565,2781,1106,1114,2454,515,544,16,1106,118,15919
2021-02-12,613,83622,5922,524,1551,2745,1101,1112,2407,502,556,16,1101,129,16048
2021-02-13,474,84096,5617,382,1330,2802,1103,1107,2471,519,561,17,1103,99,16147
2021-02-14,535,84631,5830,379,1364,2939,1148,1148,2589,543,580,15,1148,127,16274
2021-02-15,713,85344,6315,498,1593,3027,1197,1172,2621,594,570,17,1197,109,16383
2021-02-16,754,86098,6348,507,1573,3037,1231,1215,2653,595,594,18,1231,134,16517
2021-02-17,798,86896,6432,450,1590,3115,1277,1243,2718,621,608,18,1277,120,16637
2021-02-18,726,87622,6529,426,1645,3167,1291,1268,2758,621,618,19,1291,159,16796
2021-02-19,774,88396,6546,428,1702,3115,1301,1271,2678,625,636,17,1301,163,16959
2021-02-20,558,88954,6146,345,1435,3070,1296,1270,2684,601,657,17,1296,153,17112
2021-02-21,591,89545,6353,382,1460,3197,1314,1283,2805,615,665,18,1314,129,17241
2021-02-22,919,90464,7050,484,1726,3438,1401,1365,2999,681,683,22,1401,146,17387
2021-02-23,841,91305,7083,464,1731,3448,1440,1394,3018,719,697,25,1440,134,17521
2021-02-24,837,92142,7174,432,1795,3477,1470,1412,3031,737,684,26,1470,133,17654
2021-02-25,913,93055,7391,422,1849,3558,1562,1465,3044,782,730,28,1562,162,17816
2021-02-26,890,93945,7488,449,1867,3638,1534,1440,3131,759,722,27,1534,180,17996
2021-02-27,711,94656,7193,351,1545,3751,1546,1466,3237,774,715,25,1546,167,18163
2021-02-28,646,95302,7458,355,1631,3893,1579,1503,3378,780,741,18,1580,158,18321
2021-03-01,1144,96446,8263,481,1981,4135,1666,1586,3580,829,781,19,1667,187,18508
2021-03-02,1040,97486,8445,500,2020,4205,1720,1597,3624,855,798,17,1720,182,18690
2021-03-03,859,98345,8386,494,1997,4155,1740,1623,3598,864,804,17,1740,185,18875
2021-03-04,912,99257,8389,489,1881,4246,1773,1649,3679,871,825,20,1773,199,19074
2021-03-05,901,100158,8449,488,1909,4281,1771,1669,3706,865,840,22,1771,173,19247
2021-03-06,742,100900,8107,375,1639,4330,1763,1672,3788,861,850,23,1763,186,19433
2021-03-07,713,101613,8333,351,1763,4406,1813,1676,3877,889,869,24,1813,180,19613
2021-03-08,1036,102649,9007,503,2105,4504,1895,1770,3927,917,916,32,1895,212,19825
2021-03-09,977,103626,8982,470,2038,4547,1927,1800,3944,968,906,27,1927,205,20030
2021-03-10,1026,104652,9003,457,2033,4535,1977,1831,3956,1004,915,32,1977,207,20237
2021-03-11,928,105580,8965,455,2024,4498,1988,1820,3928,1014,916,35,1988,210,20447
2021-03-12,968,106548,8932,462,2069,4405,1996,1833,3862,1007,928,33,1996,196,20643
2021-03-13,746,107294,8533,362,1733,4467,1971,1781,3974,1002,911,34,1971,159,20802
2021-03-14,652,107946,8746,375,1795,4551,2025,1827,4042,1030,936,32,2025,210,21012
2021-03-15,1027,108973,9462,528,2136,4748,2050,1885,4188,1054,941,31,2050,214,21226
2021-03-16,920,109893,9331,477,2122,4668,2064,1892,4102,1050,926,37,2064,200,21426
2021-03-17,871,110764,9162,491,2044,4589,2038,1860,4025,1056,925,36,2038,174,21600
2021-03-18,811,111575,8961,446,2027,4467,2021,1861,3997,1031,952,33,2021,199,21799
2021-03-19,809,112384,8769,458,1982,4332,1997,1820,3795,1014,943,34,1998,154,21953
2021-03-20,557,112941,8218,357,1701,4189,1971,1782,3724,997,939,29,1971,160,22113
2021-03-21,564,113505,8332,334,1761,4269,1968,1806,3801,989,934,30,1968,173,22286
2021-03-22,929,114434,8969,499,2114,4366,1990,1824,3821,966,972,28,1990,192,22478
2021-03-23,764,115198,8638,475,2026,4220,1917,1779,3690,926,931,26,1917,177,22655
2021-03-24,742,115940,8321,406,1972,4053,1890,1746,3546,909,922,22,1890,168,22823
2021-03-25,730,116670,8172,399,1920,3969,1884,1747,3477,937,912,26,1884,141,22964
2021-03-26,707,117377,8048,426,1944,3829,1849,1686,3335,886,912,29,1850,136,23100
2021-03-27,559,117936,7533,321,1576,3815,1821,1652,3358,895,878,29,1821,164,23264
2021-03-28,493,118429,7581,298,1658,3851,1774,1660,3389,887,863,27,1775,106,23370
2021-03-29,788,119217,8123,457,2018,3864,1784,1668,3358,881,867,29,1785,163,23533
2021-03-30,654,119871,7849,427,1896,3787,1739,1619,3277,867,841,29,1739,154,23687
2021-03-31,653,120524,7530,451,1816,3636,1627,1561,3147,786,813,26,1627,141,23828
2021-04-01,618,121142,7227,428,1779,3448,1572,1516,2997,754,792,26,1572,134,23962
2021-04-02,507,121649,6388,324,1425,3185,1454,1432,2809,678,764,30,1456,98,24060
2021-04-03,470,122119,6230,272,1394,3126,1438,1406,2762,686,727,30,1440,111,24171
2021-04-04,444,122563,6323,259,1476,3171,1417,1386,2824,671,716,32,1419,123,24294
2021-04-05,366,122929,6393,265,1521,3208,1399,1357,2839,665,713,30,1402,107,24401
2021-04-06,636,123565,7081,412,1759,3468,1442,1408,3043,679,735,27,1448,103,24504
2021-04-07,514,124079,6723,375,1617,3316,1415,1383,2865,659,709,24,1419,114,24618
2021-04-08,428,124507,6247,350,1477,3085,1335,1330,2688,628,673,23,1338,112,24730
2021-04-09,475,124982,5931,348,1487,2836,1260,1249,2416,589,633,24,1262,98,24828
2021-04-10,298,125280,5299,233,1171,2674,1221,1232,2329,581,606,22,1224,94,24922
2021-04-11,277,125557,5248,246,1148,2672,1182,1213,2346,544,602,20,1184,80,25002
2021-04-12,392,125949,5528,337,1353,2668,1170,1195,2337,538,592,21,1173,73,25075
2021-04-13,237,126186,5129,280,1227,2525,1097,1166,2241,501,566,21,1100,38,25113
